"District","State","Yearcode","Ground_water_level","ID","SDP","gini"
"gwalior","madhya pradesh",2014,11.09,4072014,"339247",0.33
"gwalior","madhya pradesh",2016,11.735,4072016,"419465",0.33
"gwalior","madhya pradesh",2011,12.955,4072011,"282371",0.33
"gwalior","madhya pradesh",2019,8.72,4072019,"508146",0.33
"gwalior","madhya pradesh",2021,12.65,4072021,"539180",0.33
"gwalior","madhya pradesh",2013,10.7225,4072013,"322598",0.33
"gwalior","madhya pradesh",2012,13.3433333333333,4072012,"306853",0.33
"gwalior","madhya pradesh",2018,9.88,4072018,"482361",0.33
"hailakandi","assam",2019,1.69834861867852,2892019,"212315",0.21
"hailakandi","assam",2018,0.862289259681017,2892018,"204627",0.21
"hailakandi","assam",2017,1.26423934488852,2892017,"195262",0.21
"hailakandi","assam",2011,2.74209773799231,2892011,"129354",0.21
"hailakandi","assam",2020,1.62215319887286,2892020,"199646",0.21
"hailakandi","assam",2015,1.29632969614377,2892015,"167629",0.21
"hailakandi","assam",2021,2.32113944705405,2892021,"-",0.21
"hailakandi","assam",2014,2.22761234188616,2892014,"146425",0.21
"hailakandi","assam",2013,1.98185219864573,2892013,"138725",0.21
"hailakandi","assam",2016,2.22238663437173,2892016,"179632",0.21
"hailakandi","assam",2012,2.60267166675893,2892012,"132518",0.21
"hamirpur","himachal pradesh",2014,6.09625,172014,"74553",0.24
"hamirpur","himachal pradesh",2014,6.09625,172014,"74553",0.25
"hamirpur","himachal pradesh",2020,15.4746666666667,172020,"98132",0.24
"hamirpur","himachal pradesh",2020,15.4746666666667,172020,"98132",0.25
"hamirpur","himachal pradesh",2017,7.64666666666667,172017,"93525",0.24
"hamirpur","himachal pradesh",2017,7.64666666666667,172017,"93525",0.25
"hamirpur","himachal pradesh",2021,17.815,172021,"106004",0.24
"hamirpur","himachal pradesh",2021,17.815,172021,"106004",0.25
"hamirpur","himachal pradesh",2018,8.97916666666667,172018,"99218",0.24
"hamirpur","himachal pradesh",2018,8.97916666666667,172018,"99218",0.25
"hamirpur","himachal pradesh",2016,5.86625,172016,"88112",0.24
"hamirpur","himachal pradesh",2016,5.86625,172016,"88112",0.25
"hamirpur","himachal pradesh",2012,7.02142857142857,172012,"64519",0.24
"hamirpur","himachal pradesh",2012,7.02142857142857,172012,"64519",0.25
"hamirpur","himachal pradesh",2011,7.4175,172011,"60536",0.24
"hamirpur","himachal pradesh",2011,7.4175,172011,"60536",0.25
"hamirpur","himachal pradesh",2015,6.21,172015,"80563",0.24
"hamirpur","himachal pradesh",2015,6.21,172015,"80563",0.25
"hamirpur","himachal pradesh",2013,5.8675,172013,"69398",0.24
"hamirpur","himachal pradesh",2013,5.8675,172013,"69398",0.25
"hamirpur","himachal pradesh",2019,14.840625,172019,"102613",0.24
"hamirpur","himachal pradesh",2019,14.840625,172019,"102613",0.25
"hanumangarh","rajasthan",2018,17.3,1012018,"568102",0.24
"hanumangarh","rajasthan",2011,18.06,1012011,"395331",0.24
"hanumangarh","rajasthan",2015,17.7575,1012015,"501922",0.24
"hanumangarh","rajasthan",2021,19.5,1012021,"648142",0.24
"hanumangarh","rajasthan",2019,17.6925,1012019,"598550",0.24
"hanumangarh","rajasthan",2020,17.31,1012020,"583645",0.24
"hanumangarh","rajasthan",2013,18.3475,1012013,"434292",0.24
"hanumangarh","rajasthan",2014,18.6975,1012014,"465408",0.24
"hanumangarh","rajasthan",2017,17.745,1012017,"557618",0.24
"hanumangarh","rajasthan",2016,18.9175,1012016,"529650",0.24
"hanumangarh","rajasthan",2012,18.3266666666667,1012012,"409802",0.24
"harda","madhya pradesh",2012,7.74333333333333,4082012,"306853",0.32
"harda","madhya pradesh",2021,6.45,4082021,"539180",0.32
"harda","madhya pradesh",2015,7.33,4082015,"370716",0.32
"harda","madhya pradesh",2020,4.63,4082020,"490238",0.32
"harda","madhya pradesh",2017,7.515,4082017,"441956",0.32
"harda","madhya pradesh",2011,6.33,4082011,"282371",0.32
"harda","madhya pradesh",2013,5.635,4082013,"322598",0.32
"harda","madhya pradesh",2018,8.65833333333333,4082018,"482361",0.32
"harda","madhya pradesh",2019,6.01714285714286,4082019,"508146",0.32
